População residente enviada ao Tribunal de Contas da União;;;;;;;;;;;;;;;;;;;;
Brasil, Grandes Regiões e Unidades da Federação - 2001-2020;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Brasil, Grandes Regiões e;População enviada ao Tribunal de Contas da União;;;;;;;;;;;;;;;;;;;
Unidades da Federação;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Distrito Federal;2.097.447;2.145.839;2.189.789;2.282.049;2.333.108;2.383.784;2.455.903;2.557.158;2.606.885;2.562.963;2.609.998;2.648.532;2.789.761;2.852.372;2.914.830;2.977.216;3.039.444;2.974.703;3.015.268;3.055.149
Fonte: IBGE. Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais.;;;;;;;;;;;;;;;;;;;;
Nota técnica: Para cumprimento do Artigo 102 da Lei Orgânica nº 8443 do Tribunal de Contas da União (TCU), de 16 de julho de 1992, as populações enviadas ao TCU obedeceram aos seguintes critérios:;;;;;;;;;;;;;;;;;;;;
1) 2001 a 2003: estimativas das populações residentes municipais calculadas com base na Projeção Populacional para o Brasil - Revisão 2000. Os dados podem ser consultados em: https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=downloads;;;;;;;;;;;;;;;;;;;;
2) 2004 a 2006: estimativas das populações residentes municipais calculadas com base na Projeção Populacional para o Brasil - Revisão 2004. Os dados podem ser consultados em: https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=downloads;;;;;;;;;;;;;;;;;;;;
3) 2007: População residente obtida da Contagem Populacional 2007 para 5543 municípios e populações estimadas para 129 municípios, cuja metodologia pode ser consultada em: https://www.ibge.gov.br/estatisticas/sociais/populacao/9065-contagem-da-populacao.html?edicao=10189&t=resultados;;;;;;;;;;;;;;;;;;;;
4) 2008 e 2009: estimativas das populações residentes municipais calculadas com base na Projeção Populacional para o Brasil - Revisão 2008. Notas metodológicas podem ser consultadas em: https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=notas-tecnicas;;;;;;;;;;;;;;;;;;;;
5) 2010: População residente obtida do Censo Demográfico 2010, cujo resultado pode ser consultado em: http://www.ibge.gov.br/home/estatistica/populacao/censo2010/primeiros_resultados/default_primeiros_resultados.shtm;;;;;;;;;;;;;;;;;;;;
6) 2011 e 2012: estimativas das populações residentes municipais calculadas com base na Projeção Populacional para o Brasil. Notas metodológicas podem ser consultadas em: https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=notas-tecnicas;;;;;;;;;;;;;;;;;;;;
7) 2013 a 2017:  estimativas das populações residentes municipais calculadas com base na Projeção da população para o Brasil e Unidades da Federação, por sexo e idade,2013. Notas metodológicas podem ser consultadas em: https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=notas-tecnicas;;;;;;;;;;;;;;;;;;;;
8) 2018 a 2020 :estimativas das populações residentes municipais calculadas com base na Projeção da população para o Brasil e Unidades da Federação, por sexo e idade,Revisão 2018. Notas metodológicas podem ser consultadas em: https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=notas-tecnicas;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
